n	∆_{(n)}
 	p_{n+1} - p_n
1626	6
1627	2
1628	4
1629	18
1630	8
1631	10
1632	8
1633	22
1634	2
1635	10
1636	18
1637	14
1638	4
1639	2
1640	4
1641	18
1642	2
1643	4
1644	6
1645	8
1646	10
1647	2
1648	30
1649	4
1650	30
1651	2
1652	10
1653	2
1654	18
1655	4
1656	18
1657	6
1658	14
1659	10
1660	2
1661	4
1662	20
1663	36
1664	6
1665	4
1666	6
1667	14
1668	4
1669	20
1670	10
1671	14
1672	22
1673	6
1674	2
1675	30
1676	12
1677	10
1678	18
1679	2
1680	4
1681	14
1682	6
1683	22
1684	18
1685	2
1686	12
1687	6
1688	4
1689	8
1690	4
1691	8
1692	6
1693	10
1694	2
1695	12
1696	18
1697	10
1698	14
1699	16
1700	14
1701	4
1702	6
1703	6
1704	2
1705	6
1706	4
1707	2
1708	28
1709	2
1710	28
1711	6
1712	2
1713	4
1714	6
1715	14
1716	4
1717	12
1718	14
1719	16
1720	14
1721	4
1722	6
1723	8
1724	6
1725	4
1726	6
1727	6
1728	6
1729	8
1730	4
1731	8
1732	4
1733	14
1734	16
1735	8
1736	6
1737	4
1738	12
1739	8
1740	16
1741	2
1742	10
1743	8
1744	4
1745	6
1746	26
1747	6
1748	10
1749	8
1750	4
1751	6
1752	12
1753	14
1754	30
1755	4
1756	14
1757	22
1758	8
1759	12
1760	4
1761	6
1762	8
1763	10
1764	6
1765	14
1766	10
1767	6
1768	2
1769	10
1770	12
1771	12
1772	14
1773	6
1774	6
1775	18
1776	10
1777	6
1778	8
1779	18
1780	4
1781	6
1782	2
1783	6
1784	10
1785	2
1786	10
1787	8
1788	6
1789	6
1790	10
1791	2
1792	18
1793	10
1794	2
1795	12
1796	4
1797	6
1798	8
1799	10
1800	12
1801	14
1802	12
1803	4
1804	8
1805	10
1806	6
1807	6
1808	20
1809	4
1810	14
1811	16
1812	14
1813	10
1814	8
1815	10
1816	12
1817	2
1818	18
1819	6
1820	12
1821	10
1822	12
1823	2
1824	4
1825	2
1826	12
1827	6
1828	4
1829	8
1830	4
1831	44
1832	4
1833	2
1834	4
1835	2
1836	10
1837	12
1838	6
1839	6
1840	14
1841	4
1842	6
1843	6
1844	6
1845	8
1846	6
1847	36
1848	18
1849	4
1850	6
1851	2
1852	12
1853	6
1854	6
1855	6
1856	4
1857	14
1858	22
1859	12
1860	2
1861	18
1862	10
1863	6
1864	26
1865	24
1866	4
1867	2
1868	4
1869	2
1870	4
1871	14
1872	4
1873	6
1874	6
1875	8
1876	16
1877	12
1878	2
1879	42
1880	4
1881	2
1882	4
1883	24
1884	6
1885	6
1886	2
1887	18
1888	4
1889	14
1890	6
